Date,New_Starts_1L,1L_VRd,Total_1L,1L_D-VRd,1L_VTd,1L_D-VTd,1L_Rd,1L_DRd,1L_VRd-lite,2L_DVd,Total_2L,2L_DRd_2L,2L_DKd,2L_Kd,2L_PVd,2L_Isa-Kd,2L_Selinexor-Vd,3L_PVd_3L,Total_3L,3L_DKd_3L,3L_Kd_3L,3L_Elo-Pd,3L_Selinexor-Vd_3L,3L_Isa-Pd,4L+_Ide-cel,Total_4L+,4L+_Cilta-cel,4L+_Teclistamab,4L+_Talquetamab
2014-06-01,1856.6833333333334,1095.0470637598112,73457.5538525342,3404.794835354299,20693.34330866682,2285.314540273249,13374.364326498693,19725.666732227666,12879.023045753605,2402.5807326939985,22121.1893958412,5164.7576452120975,3767.1161096851215,2654.6236072972742,1655.4764534058236,4444.177901063487,2032.4569464833935,918.3662950492726,7100.385986340196,1883.4586439496525,1400.6003585049693,851.8844530855305,1106.0010656202703,940.0751701304979,392.2859357233581,2347.4366525881646,1125.8782742394828,492.7999336617791,336.4725089635449
2014-07-01,1856.6833333333334,1062.608980194704,73612.31872381324,3354.5582798415185,20846.07672142276,2240.1556518739058,13390.520001339411,19797.081349562402,12921.317739578491,2413.4221870742713,22228.061888864006,5191.806485507523,3785.5711599035976,2666.8330519968627,1662.4482135086075,4466.642228776551,2041.3385620966126,923.3675383467644,7139.918259068778,1894.2793428052357,1408.4629788971356,856.4982642697073,1112.1067093049874,945.203425444945,394.6125015905475,2361.747649965845,1132.9351704947583,495.7401412370313,338.459836643507
2014-08-01,1856.6833333333334,1031.0318300240333,73761.52335422365,3304.938342417875,20993.531798424337,2195.7655646381686,13406.396204112205,19867.354526126455,12962.50508848053,2424.151560325374,22334.132865395917,5218.723821750413,3803.896498410344,2678.9237734970466,1669.3394001871065,4488.976171012425,2050.1216402132145,928.3425375409046,7179.300111686283,1905.0802881398429,1416.3001996646817,861.0865954472303,1118.1852499524548,950.3052409411735,396.9380822880358,2376.067084927212,1140.0023308597167,498.6811958370727,340.44547594238526
2014-09-01,1856.6833333333334,1000.2968747310283,73905.29888064454,3255.930578936813,21135.85122616466,2152.134962841824,13421.986800631434,19936.496735849905,13002.601701488824,2434.764111915669,22439.3605361013,5245.5011233148425,3822.08494187251,2690.8905733343167,1676.1460696980137,4511.171740577562,2058.8019753883955,933.2901831988775,7218.52175104338,1915.8586542348778,1424.1098333765237,865.6484883796381,1124.2351351892928,955.3794566641733,399.2617948261545,2390.3909156395707,1147.0784461055848,501.62199342635296,342.4286812814782
2014-10-01,1856.6833333333334,970.3856024283419,74043.77854089861,3207.530479990211,21273.177017055248,2109.2545107641304,13437.286986615225,20004.518892246506,13041.625051798896,2445.2549417325317,22543.701958740257,5272.129657602304,3840.129152778203,2702.7280997867892,1682.8641345065998,4533.220774555558,2067.375197778275,938.2093556084204,7257.573355728513,1926.6116071689592,1431.889703680524,870.1829674691005,1130.2548172891088,960.4249045123961,401.5827852000269,2404.715147657514,1154.162171228775,504.56145593472957,344.40873529398243
2014-11-01,1856.6833333333334,941.2797346988335,74177.0967441245,3159.7334754385965,21405.650038693748,2067.1148594323818,13452.293089944977,20071.432263376195,13079.59328253971,2455.619126996341,22647.113991007627,5298.60062056962,3858.021770643735,2714.430982606889,1689.489510388148,4555.115065146523,2075.83691465636,943.0989117489858,7296.444998955413,1937.3362933535386,1439.6376320639627,874.6890273486101,1136.2427393882003,965.4403950521164,403.9002270531126,2419.0358338165993,1161.252128751027,507.4985310729394,346.38494693952043
2014-12-01,1856.6833333333334,912.9612327222948,74304.14674450045,3112.5349387542187,21386.423151327534,2025.7066530242826,14349.475280761202,19768.229927162578,12748.815560748317,2465.851820022286,22749.55397270212,5324.905231517653,3875.755506551718,2725.9939293615444,1696.0182197913252,4576.846454367941,2084.1828110896286,947.9576775556915,7335.126601650876,1948.0298325358383,1447.3514293600133,879.1656258358781,1142.1973267641317,970.4247095993242,406.213319698231,2433.349071338232,1168.3469111907555,510.43219137059447,348.3566490786523
2015-01-01,1856.6833333333334,885.4123027291063,74424.5311704823,3065.9301911858834,21356.532837578987,1985.0205349441694,15243.080595764384,19466.797763821345,12421.756944458375,2476.0685403786447,22851.825115240197,5351.1573190480385,3893.445031827199,2737.532448982277,1702.5645566832181,4598.529121746379,2092.5280965744523,952.7844442722751,7373.607908985244,1958.6893142964093,1455.0288909698222,883.6116810033376,1148.1169820651853,975.3765963782167,408.5212857405109,2447.650997069039,1175.4450829010268,513.3614326751425,350.3231957523593
2015-02-01,1926.7375,858.6154008195853,74607.47051641719,3019.914505753873,21337.745290581308,1945.0471535881659,16179.753629345034,19167.417437230743,12098.977099098467,2486.311853844764,22954.22334786969,5377.399449078889,3911.1334096036835,2749.0893334352345,1709.168872613478,4620.205840988122,2100.9145883055116,957.5796624468602,7411.888827780116,1969.313770816811,1462.6694728253974,888.0277606517999,1154.0017192455068,980.2964417937417,410.82301194328113,2461.936606990296,1182.5450393532828,516.284890095663,352.2836655980686
2015-03-01,1926.7375,832.5532371857046,74782.66904891469,2974.4831110827413,21308.069057872613,1905.7771678124943,17110.64014438913,18870.28874590501,11780.857584666988,2496.646006956528,23057.19422086824,5403.695949905062,3928.884988985972,2760.7293248108695,1715.8917414347852,4641.9409481647235,2109.405260610304,962.3460071051694,7449.982638876804,1979.9038818288582,1470.2751154228122,892.4166241763481,1159.8540679066773,985.1869424369385,413.11855547863024,2476.204704562102,1189.6455981583458,519.2024380703467,354.2381128547797
