Date,NewDx,On_1L,On_2L,On_3L_plus,On_Treatment_Total
2001-10-01,1352.8333333333333,23017.694999819403,5270.529255528076,867.9850162131607,29156.20927156064
2001-11-01,1352.8333333333333,23433.77314848188,5475.9217689193865,914.5214764357412,29824.216393837007
2001-12-01,1352.8333333333333,23836.586254546786,5679.5957403386265,961.212353874045,30477.39434875946
2002-01-01,1388.5,24226.5572225951,5881.367754578058,1007.9853781831869,31115.910355356347
2002-02-01,1388.5,24634.41214119748,6081.071992553851,1054.7721499702202,31770.256283721552
2002-03-01,1388.5,25029.264183089606,6279.171996626226,1101.5081691457397,32409.944348861573
2002-04-01,1388.5,25411.527894707062,6475.484013872734,1148.151411473953,33035.16332005375
2002-05-01,1388.5,25781.60460627558,6669.841735176594,1194.6597655705668,33646.106107022744
2002-06-01,1388.5,26139.882853158786,6862.095167679192,1240.991573264511,34242.96959410249
2002-07-01,1388.5,26486.738783772882,7052.109571363438,1287.1060652361107,34825.95442037243
2002-08-01,1388.5,26822.536554496564,7239.764456333356,1332.9637075454787,35395.2647183754
2002-09-01,1388.5,27147.628711990765,7424.952637533373,1378.5264725227687,35951.107822046906
2002-10-01,1388.5,27462.3565633296,7607.579343819721,1423.758045634787,36493.6939527841
2002-11-01,1388.5,27767.050534331116,7787.561378456827,1468.6239783328606,37023.23589112081
2002-12-01,1388.5,28062.030516464074,7964.826328263739,1513.091795492201,37539.94864022002
2003-01-01,1439.5,28347.606202694922,8139.3118187801365,1557.1310648450137,38044.049086320076
2003-02-01,1439.5,28667.427412627603,8310.964812958564,1600.7134347636497,38579.10566034982
2003-03-01,1439.5,28977.05236018265,8480.617348986065,1643.8126458448407,39101.482355013555
2003-04-01,1439.5,29276.806113752165,8648.161957133514,1686.4310978969922,39611.39916878267
2003-05-01,1439.5,29567.003378179765,8813.50304010171,1728.5676184547817,40109.07403673626
2003-06-01,1439.5,29847.94882516224,8976.556077935253,1770.2182890821914,40594.723192179685
2003-07-01,1439.5,30119.937413117637,9137.24687883108,1811.3771397115888,41068.5614316603
2003-08-01,1439.5,30383.254696855598,9295.510873365105,1852.036729635153,41530.80229985586
2003-09-01,1439.5,30638.177127375024,9451.292449789336,1892.188631259956,41981.65820842431
2003-10-01,1439.5,30884.97234210389,9604.54432817422,1931.8238305639,42421.340500842016
2003-11-01,1439.5,31123.89944588586,9755.226971287066,1970.933056303079,42850.05947347601
2003-12-01,1439.5,31355.209283008746,9903.308030207592,2009.5070483842815,43268.02436160062
2004-01-01,1508.8333333333333,31579.144700560366,10048.761822786204,2047.536774396484,43675.44329774305
2004-02-01,1508.8333333333333,31854.87413672169,10191.568843149802,2085.013602063824,44131.456581935316
2004-03-01,1508.8333333333333,32121.81300618817,10332.906743541094,2121.9294343148986,44576.64918404417
2004-04-01,1508.8333333333333,32380.241562181563,10472.670266387666,2158.3129434717566,45011.22477204099
2004-05-01,1508.8333333333333,32630.431123133516,10610.765011420692,2194.185867459292,45435.3820020135
2004-06-01,1508.8333333333333,32872.6443575368,10747.106719541473,2229.5642441639584,45849.31532124223
2004-07-01,1508.8333333333333,33107.13555971517,10881.62059776768,2264.4594629615117,46253.21562044436
2004-08-01,1508.8333333333333,33334.150916801336,11014.240683049582,2298.8791585234535,46647.27075837437
2004-09-01,1508.8333333333333,33553.928767203404,11144.909242861357,2332.8279686674136,47031.66597873218
2004-10-01,1508.8333333333333,33766.699850831115,11273.576210581632,2366.30817511229,47406.584236525036
2004-11-01,1508.8333333333333,33972.687551344556,11400.198653780799,2399.320243476931,47772.20644860229
2004-12-01,1508.8333333333333,34172.10813067975,11524.74027363077,2431.863276671455,48128.71168098198
2005-01-01,1539.8333333333333,34365.17095609728,11647.170933746067,2463.935393929388,48476.27728377273
2005-02-01,1539.8333333333333,34578.42871999235,11767.466216853458,2495.534046078825,48841.42898292463
2005-03-01,1539.8333333333333,34784.887584855045,11886.139720260648,2526.6562762188987,49197.68358133459
2005-04-01,1539.8333333333333,34984.76430728644,12003.133980964729,2557.3150883323397,49545.2133765835
2005-05-01,1539.8333333333333,35178.26873344167,12118.398752259,2587.5200464867107,49884.18753218738
2005-06-01,1539.8333333333333,35365.60401934279,12231.89050810592,2617.2779426632665,50214.77247011198
2005-07-01,1539.8333333333333,35546.9668441678,12343.571976409263,2646.5933623877777,50537.132182964844
2005-08-01,1539.8333333333333,35722.547616739765,12453.411699618087,2675.4691623790513,50851.4284787369
2005-09-01,1539.8333333333333,35892.53067543281,12561.383621177018,2703.9068725278307,51157.821169137664
2005-10-01,1539.8333333333333,36057.094481704946,12667.466696414966,2731.90703286662,51456.46821098653
2005-11-01,1539.8333333333333,36216.41180746077,12771.644526538084,2759.469474756802,51747.52580875565
2005-12-01,1539.8333333333333,36370.64991644091,12873.905014462687,2786.5935542747116,52031.14848517831
2006-01-01,1558.6666666666667,36519.97073982851,12974.240041290188,2813.2783446981653,52307.489125816865
2006-02-01,1558.6666666666667,36680.53937959053,13072.645162289044,2839.522794057823,52592.707335937404
2006-03-01,1558.6666666666667,36835.98890926921,13169.442958465934,2865.3258529048226,52870.757720639966
2006-04-01,1558.6666666666667,36986.48253189152,13264.609213823873,2890.696391099166,53141.78813681456
2006-05-01,1558.6666666666667,37132.178247387084,13358.12420618176,2915.6413864118563,53405.943839980704
2006-06-01,1558.6666666666667,37273.22901846885,13449.972380341806,2940.166307764745,53663.36770657541
2006-07-01,1558.6666666666667,37409.78293122525,13540.14204073047,2964.275438536911,53914.20041049263
2006-08-01,1558.6666666666667,37541.983350592476,13628.625062445528,2987.9721483509147,54158.58056138892
2006-09-01,1558.6666666666667,37669.96907087022,13715.416619697939,3011.2591206217153,54396.64481118988
2006-10-01,1558.6666666666667,37793.87446143869,13800.51493069037,3034.1385421698324,54628.527934298894
2006-11-01,1558.6666666666667,37913.82960783009,13883.921018024674,3056.6122603487224,54854.36288620349
2006-12-01,1558.6666666666667,38029.96044830254,13965.63848377849,3078.6819123974956,55074.280844478526
2007-01-01,1583.0833333333333,38142.38890605984,14045.673298436535,3100.3490310890816,55288.41123558546
2007-02-01,1583.0833333333333,38271.98718392265,14124.033602905221,3121.615130188022,55517.63591701589
2007-03-01,1583.0833333333333,38397.45372191411,14201.149105566628,3142.4817727499803,55741.08460023072
2007-04-01,1583.0833333333333,38518.92024458063,14276.997671631798,3162.9633488014797,55958.88126501391
2007-05-01,1583.0833333333333,38636.51427694087,14351.560921085023,3183.0716988759305,56171.146896901824
2007-06-01,1583.0833333333333,38750.35927837148,14424.82395859107,3202.816560649232,56377.99979761178
2007-07-01,1583.0833333333333,38860.57477222436,14496.775119430575,3222.2059490878532,56579.55584074279
2007-08-01,1583.0833333333333,38967.2764713116,14567.405730586785,3241.2464792737105,56775.92868117209
2007-09-01,1583.0833333333333,39070.57639938976,14636.70988615281,3259.943639847387,56967.22992538996
2007-10-01,1583.0833333333333,39170.583008771224,14704.684236272193,3278.3020239494913,57153.56926899291
2007-11-01,1583.0833333333333,39267.40129418578,14771.327788867009,3296.3255236180803,57335.05460667087
2007-12-01,1583.0833333333333,39361.13290301236,14836.641723447001,3314.0174927998214,57511.79211925918
2008-01-01,1691.8333333333333,39451.87624199631,14900.629216330477,3331.3808834379265,57683.88634176471
2008-02-01,1691.8333333333333,39632.1640805645,14963.295276643112,3348.4183584970597,57943.87771570467
2008-03-01,1691.8333333333333,39806.704138658955,15026.515382275586,3365.1323852623573,58198.3519061969
2008-04-01,1691.8333333333333,39975.67966203067,15090.14600508482,3381.5819831995036,58447.40765031499
2008-05-01,1691.8333333333333,40139.26805434858,15154.054400620942,3397.8141157680698,58691.13657073759
2008-06-01,1691.8333333333333,40297.641063451716,15218.11795814907,3413.8655910435855,58929.62461264437
2008-07-01,1691.8333333333333,40450.96496166352,15282.223586494518,3429.76469455109,59162.95324270913
2008-08-01,1691.8333333333333,40599.400720357444,15346.267133824562,3445.532590349495,59391.2004445315
2008-09-01,1691.8333333333333,40743.10417895724,15410.1528395767,3461.1845216448414,59614.441540178785
2008-10-01,1691.8333333333333,40882.22620854936,15473.792816835381,3476.730838073692,59832.74986345843
2008-11-01,1691.8333333333333,41016.91287027913,15537.106563546522,3492.1778732038247,60046.19730702947
2008-12-01,1691.8333333333333,41147.30556869717,15600.020501042005,3507.5286926770405,60254.85476241622
2009-01-01,1772.8333333333333,41273.541200216874,15662.467538425117,3522.7837307066575,60458.79246934865
2009-02-01,1772.8333333333333,41464.60229683893,15724.386661442564,3537.941330286371,60726.93028856786
2009-03-01,1772.8333333333333,41649.57214931952,15787.11447072163,3552.9982004210747,60989.68482046223
2009-04-01,1772.8333333333333,41828.644953420364,15850.487935061614,3567.9920123380916,61247.124900820076
2009-05-01,1772.8333333333333,42002.00871372234,15914.35599025305,3582.950576293501,61499.315280268886
2009-06-01,1772.8333333333333,42169.84544100738,15978.578823679567,3597.8934915720506,61746.317756259006
2009-07-01,1772.8333333333333,42332.33134334757,16043.027198194804,3612.833559427019,61988.19210096939
2009-08-01,1772.8333333333333,42489.63701110208,16107.58181321008,3627.7779910932077,62224.99681540537
2009-09-01,1772.8333333333333,42641.927596016234,16172.132701034352,3642.7294387494667,62456.789735800055
2009-10-01,1772.8333333333333,42789.362984610685,16236.578656608526,3657.6868736092165,62683.62851482842
2009-11-01,1772.8333333333333,42932.097966042726,16300.826698871597,3672.646332105203,62905.570997019524
2009-12-01,1772.8333333333333,43070.28239461602,16364.791562086759,3687.6015483446627,63122.67550504744
2010-01-01,1872.9166666666667,43204.06134710931,16428.3952155416,3702.5444885879447,63335.00105123886
2010-02-01,1872.9166666666667,43418.646108422654,16491.566410118172,3717.4658013993762,63627.6783199402
2010-03-01,1872.9166666666667,43626.389664523085,16555.960109714233,3732.3551952920543,63914.70496952937
2010-04-01,1872.9166666666667,43827.51012078061,16621.377711077388,3747.2539091638027,64196.1417410218
2010-05-01,1872.9166666666667,44022.21862911903,16687.6348157961,3762.191776543491,64472.045221458626
2010-06-01,1872.9166666666667,44210.7196096997,16754.56038911643,3777.1891450359412,64742.46914385207
2010-07-01,1872.9166666666667,44393.2109655377,16821.99596472909,3792.2585197231556,65007.46544998994
2010-08-01,1872.9166666666667,44569.88429027586,16889.794893116614,3807.4059679463803,65267.08515133886
2010-09-01,1872.9166666666667,44740.92506933471,16957.821631173836,3822.6323179356405,65521.37901844419
2010-10-01,1872.9166666666667,44906.512874649496,17025.951070932097,3837.9341794463244,65770.39812502792
2010-11-01,1872.9166666666667,45066.82155319879,17094.06790532889,3853.3048108210924,66014.19426934877
2010-12-01,1872.9166666666667,45222.01940952261,17162.066029070258,3868.734853645779,66252.82029223864
2011-01-01,1969.0,45372.26938242163,17229.84797273358,3884.2129533457214,66486.33030850094
2011-02-01,1969.0,45599.40004935637,17297.324368353726,3899.726281618102,66796.4506993282
2011-03-01,1969.0,45819.289533398456,17366.064567138295,3915.2609744678534,67100.6150750046
2011-04-01,1969.0,46032.1686916593,17435.85984267437,3930.8525683635635,67398.88110269724
2011-05-01,1969.0,46238.26102126418,17506.516430480668,3946.525631725003,67691.30308346986
2011-06-01,1969.0,46437.78289399689,17577.854641264355,3962.2956502459515,67977.9331855072
2011-07-01,1969.0,46630.9437834637,17649.7080226573,3978.170639245492,68258.82244536649
2011-08-01,1969.0,46817.94648501509,17721.922566889414,3994.1525201474033,68534.0215720519
2011-09-01,1969.0,46998.987328656105,17794.35596198702,4010.2382932677688,68803.5815839109
2011-10-01,1969.0,47174.25638516886,17866.87688420778,4026.4210348174856,69067.55430419413
2011-11-01,1969.0,47343.937665663696,17939.364329541026,4042.690742314445,69325.99273751916
2011-12-01,1969.0,47508.20931476835,18011.706982213942,4059.0350493763017,69578.95134635859
